date,datetime,modalidad,rating,opp_rating,result,color
2026-01-05,2026-01-05 00:16,Daily,1089,1008,Loss,white
2026-01-05,2026-01-05 01:33,Daily,1088,1781,Loss,white
2026-01-12,2026-01-12 22:43,Daily,1102,1037,Win,white
2026-01-18,2026-01-18 01:23,Daily,1113,990,Win,black
2026-01-20,2026-01-20 22:32,Daily,1124,1017,Win,black
2026-01-21,2026-01-21 14:19,Blitz,596,612,Loss,white
2026-01-22,2026-01-22 12:07,Daily,1123,1783,Loss,black
2026-01-23,2026-01-23 19:22,Blitz,583,663,Loss,black
2026-01-24,2026-01-24 08:11,Blitz,567,566,Loss,white
2026-01-25,2026-01-25 04:05,Blitz,550,527,Loss,black
2026-01-26,2026-01-26 18:42,Blitz,562,485,Win,white
2026-01-27,2026-01-27 12:27,Blitz,576,560,Win,black
2026-01-29,2026-01-29 20:39,Blitz,563,602,Loss,black
2026-01-29,2026-01-29 22:21,Blitz,550,570,Loss,white
2026-01-30,2026-01-30 20:44,Blitz,459,1200,Win,white
2026-02-01,2026-02-01 17:16,Daily,1123,1783,Loss,white
2026-02-03,2026-02-03 18:02,Daily,1103,1023,Loss,white
2026-02-05,2026-02-05 17:27,Daily,1113,973,Win,white
2026-02-10,2026-02-10 20:57,Daily,1113,1768,Loss,black
2026-02-24,2026-02-24 03:41,Daily,1093,1030,Loss,black
2026-02-24,2026-02-24 16:53,Daily,1103,957,Win,white
2026-03-03,2026-03-03 18:22,Daily,1103,1774,Loss,white
2026-03-28,2026-03-28 17:46,Daily,1084,1070,Loss,white
2026-03-31,2026-03-31 16:44,Daily,1084,1713,Loss,black
2026-04-01,2026-04-01 17:01,Daily,1084,369,Win,white
2026-04-07,2026-04-07 21:38,Daily,1084,369,Win,black
